20080506 00:00,1.55239,1.55943,1.545245,1.55066
20080507 00:00,1.550655,1.551545,1.528375,1.5311
20080508 00:00,1.531095,1.54419,1.52923,1.54034
20080509 00:00,1.54033,1.548885,1.540165,1.548215
20080511 00:00,1.545145,1.54851,1.54018,1.54133
20080512 00:00,1.54137,1.55703,1.53666,1.553835
20080513 00:00,1.55383,1.55662,1.54311,1.545585
20080514 00:00,1.54559,1.54865,1.539585,1.54637
20080515 00:00,1.5464,1.554655,1.54198,1.547245
20080516 00:00,1.547245,1.56016,1.544875,1.559405
20080518 00:00,1.559545,1.559845,1.556085,1.556495
20080519 00:00,1.556525,1.56331,1.54862,1.55316
20080520 00:00,1.553145,1.568575,1.550615,1.5667
20080521 00:00,1.566695,1.58011,1.563155,1.57708
20080522 00:00,1.5771,1.58141,1.569335,1.573165
20080523 00:00,1.573195,1.57941,1.56968,1.57751
20080525 00:00,1.576795,1.57921,1.574965,1.57611
20080526 00:00,1.576095,1.57991,1.57414,1.57881
20080527 00:00,1.578785,1.581825,1.56668,1.5696
20080528 00:00,1.56961,1.57605,1.56088,1.563405
20080529 00:00,1.563395,1.56411,1.54858,1.55181
20080530 00:00,1.551795,1.556915,1.54621,1.55573
20080601 00:00,1.556895,1.556945,1.55316,1.55379
20080602 00:00,1.553795,1.558925,1.54868,1.55347
20080603 00:00,1.55353,1.56282,1.541065,1.545315
20080604 00:00,1.5453,1.548345,1.53848,1.539535
20080605 00:00,1.53952,1.56043,1.536505,1.558055
20080606 00:00,1.55808,1.57751,1.55724,1.576975
20080608 00:00,1.578495,1.580015,1.57658,1.5783
20080609 00:00,1.57832,1.58438,1.55582,1.558235
20080610 00:00,1.55826,1.561835,1.54408,1.547675
20080611 00:00,1.547655,1.55866,1.54574,1.5487
20080612 00:00,1.54872,1.549425,1.53793,1.54515
20080613 00:00,1.54509,1.54531,1.53036,1.536215
20080615 00:00,1.540545,1.54169,1.537275,1.539895
20080616 00:00,1.53987,1.55411,1.534465,1.55312
20080617 00:00,1.553095,1.55523,1.54654,1.5505
20080618 00:00,1.550495,1.55792,1.54632,1.556745
20080619 00:00,1.55675,1.55862,1.546635,1.55115
20080620 00:00,1.55115,1.56515,1.5505,1.56258
20080622 00:00,1.56227,1.563595,1.55958,1.56174
20080623 00:00,1.56174,1.56191,1.54683,1.551695
